entry_id,co2_ppm,ch4_ppm,created_at,fecha
2557,805,803.4375,2025-08-20T21:31:31-05:00,2025-08-20
2558,805,799.21887,2025-08-20T21:32:02-05:00,2025-08-20
2559,806,802.73431,2025-08-20T21:32:32-05:00,2025-08-20
2560,806,802.73431,2025-08-20T21:33:02-05:00,2025-08-20
2561,808,802.73431,2025-08-20T21:33:32-05:00,2025-08-20
2562,808,802.73431,2025-08-20T21:34:02-05:00,2025-08-20
2563,800,797.8125,2025-08-20T21:34:32-05:00,2025-08-20
2564,798,790.78131,2025-08-20T21:35:03-05:00,2025-08-20
2565,794,789.37494,2025-08-20T21:35:31-05:00,2025-08-20
2566,792,789.37494,2025-08-20T21:36:02-05:00,2025-08-20
2567,792,785.85944,2025-08-20T21:36:32-05:00,2025-08-20
2568,791,790.07813,2025-08-20T21:37:02-05:00,2025-08-20
2569,791,786.56262,2025-08-20T21:37:32-05:00,2025-08-20
2570,793,788.67194,2025-08-20T21:38:02-05:00,2025-08-20
2571,793,789.37494,2025-08-20T21:38:32-05:00,2025-08-20
2572,791,789.37494,2025-08-20T21:39:02-05:00,2025-08-20
2573,789,783.04694,2025-08-20T21:39:35-05:00,2025-08-20
2574,788,783.75012,2025-08-20T21:40:03-05:00,2025-08-20
2575,786,780.23438,2025-08-20T21:40:34-05:00,2025-08-20
2576,784,780.23438,2025-08-20T21:41:02-05:00,2025-08-20
2577,783,778.82825,2025-08-20T21:41:32-05:00,2025-08-20
2578,783,778.12506,2025-08-20T21:42:02-05:00,2025-08-20
2579,784,780.23438,2025-08-20T21:42:34-05:00,2025-08-20
2580,783,780.93756,2025-08-20T21:43:06-05:00,2025-08-20
2581,784,777.42187,2025-08-20T21:43:35-05:00,2025-08-20
2582,783,777.42187,2025-08-20T21:44:03-05:00,2025-08-20
2583,783,778.12506,2025-08-20T21:44:33-05:00,2025-08-20
2584,783,778.82825,2025-08-20T21:45:03-05:00,2025-08-20
2585,783,777.42187,2025-08-20T21:45:33-05:00,2025-08-20
2586,781,778.12506,2025-08-20T21:46:03-05:00,2025-08-20
2587,783,779.53119,2025-08-20T21:46:32-05:00,2025-08-20
2588,783,777.42187,2025-08-20T21:47:02-05:00,2025-08-20
2589,782,776.01575,2025-08-20T21:48:03-05:00,2025-08-20
2590,782,778.12506,2025-08-20T21:48:33-05:00,2025-08-20
2591,780,775.31256,2025-08-20T21:49:04-05:00,2025-08-20
2592,780,776.01575,2025-08-20T21:49:33-05:00,2025-08-20
2593,779,775.31256,2025-08-20T21:50:03-05:00,2025-08-20
2594,778,772.5,2025-08-20T21:50:33-05:00,2025-08-20
2595,779,776.01575,2025-08-20T21:51:03-05:00,2025-08-20
2596,779,776.01575,2025-08-20T21:52:03-05:00,2025-08-20
2597,782,775.31256,2025-08-20T21:52:33-05:00,2025-08-20
2598,779,774.60937,2025-08-20T21:53:05-05:00,2025-08-20
2599,781,777.42187,2025-08-20T21:53:36-05:00,2025-08-20
2600,782,778.82825,2025-08-20T21:54:04-05:00,2025-08-20
2601,783,778.12506,2025-08-20T21:54:33-05:00,2025-08-20
2602,784,780.93756,2025-08-20T21:55:03-05:00,2025-08-20
2603,784,781.64056,2025-08-20T21:55:33-05:00,2025-08-20
2604,785,781.64056,2025-08-20T21:56:04-05:00,2025-08-20
2605,787,780.93756,2025-08-20T21:56:34-05:00,2025-08-20
2606,785,781.64056,2025-08-20T21:57:04-05:00,2025-08-20
2607,786,782.34375,2025-08-20T21:57:34-05:00,2025-08-20
2608,784,780.23438,2025-08-20T21:58:04-05:00,2025-08-20
2609,783,778.12506,2025-08-20T21:58:34-05:00,2025-08-20
2610,784,778.12506,2025-08-20T21:59:06-05:00,2025-08-20
2611,783,777.42187,2025-08-20T21:59:35-05:00,2025-08-20
2612,783,778.12506,2025-08-20T22:00:04-05:00,2025-08-20
2613,784,781.64056,2025-08-20T22:00:34-05:00,2025-08-20
2614,783,777.42187,2025-08-20T22:01:06-05:00,2025-08-20
2615,783,778.82825,2025-08-20T22:01:34-05:00,2025-08-20
2616,784,782.34375,2025-08-20T22:02:04-05:00,2025-08-20
2617,785,780.23438,2025-08-20T22:02:34-05:00,2025-08-20
2618,784,780.93756,2025-08-20T22:03:04-05:00,2025-08-20
2619,785,780.93756,2025-08-20T22:03:34-05:00,2025-08-20
2620,785,780.23438,2025-08-20T22:04:05-05:00,2025-08-20
2621,785,781.64056,2025-08-20T22:04:34-05:00,2025-08-20
2622,785,780.93756,2025-08-20T22:05:05-05:00,2025-08-20
2623,784,780.23438,2025-08-20T22:05:34-05:00,2025-08-20
2624,784,780.23438,2025-08-20T22:06:04-05:00,2025-08-20
2625,786,780.93756,2025-08-20T22:06:35-05:00,2025-08-20
2626,785,780.23438,2025-08-20T22:07:05-05:00,2025-08-20
2627,785,780.23438,2025-08-20T22:07:36-05:00,2025-08-20
2628,785,780.93756,2025-08-20T22:08:05-05:00,2025-08-20
2629,784,780.23438,2025-08-20T22:08:35-05:00,2025-08-20
2630,783,778.12506,2025-08-20T22:09:05-05:00,2025-08-20
2631,781,778.82825,2025-08-20T22:09:35-05:00,2025-08-20
2632,782,778.12506,2025-08-20T22:10:05-05:00,2025-08-20
2633,781,776.01575,2025-08-20T22:10:38-05:00,2025-08-20
2634,781,778.82825,2025-08-20T22:11:05-05:00,2025-08-20
2635,783,778.82825,2025-08-20T22:11:35-05:00,2025-08-20
2636,785,780.23438,2025-08-20T22:12:05-05:00,2025-08-20
2637,786,780.93756,2025-08-20T22:12:35-05:00,2025-08-20
2638,785,780.23438,2025-08-20T22:13:05-05:00,2025-08-20
2639,786,780.23438,2025-08-20T22:13:35-05:00,2025-08-20
2640,786,780.93756,2025-08-20T22:14:06-05:00,2025-08-20
2641,784,780.93756,2025-08-20T22:14:35-05:00,2025-08-20
2642,784,780.23438,2025-08-20T22:15:05-05:00,2025-08-20
2643,782,778.82825,2025-08-20T22:15:35-05:00,2025-08-20
2644,781,777.42187,2025-08-20T22:16:05-05:00,2025-08-20
2645,778,776.71869,2025-08-20T22:16:35-05:00,2025-08-20
2646,779,776.01575,2025-08-20T22:17:08-05:00,2025-08-20
2647,777,771.79681,2025-08-20T22:17:35-05:00,2025-08-20
2648,777,773.20319,2025-08-20T22:18:05-05:00,2025-08-20
2649,778,772.5,2025-08-20T22:18:38-05:00,2025-08-20
2650,778,772.5,2025-08-20T22:19:06-05:00,2025-08-20
2651,778,773.90619,2025-08-20T22:19:36-05:00,2025-08-20
2652,780,775.31256,2025-08-20T22:20:05-05:00,2025-08-20
2653,781,778.12506,2025-08-20T22:20:36-05:00,2025-08-20
2654,784,780.93756,2025-08-20T22:21:05-05:00,2025-08-20
2655,783,778.82825,2025-08-20T22:21:35-05:00,2025-08-20
2656,784,780.23438,2025-08-20T22:22:06-05:00,2025-08-20
2657,785,781.64056,2025-08-20T22:22:36-05:00,2025-08-20
2658,785,780.23438,2025-08-20T22:23:05-05:00,2025-08-20
2659,785,780.23438,2025-08-20T22:23:36-05:00,2025-08-20
2660,783,778.82825,2025-08-20T22:24:06-05:00,2025-08-20
2661,784,777.42187,2025-08-20T22:24:36-05:00,2025-08-20
2662,780,774.60937,2025-08-20T22:25:06-05:00,2025-08-20
2663,780,775.31256,2025-08-20T22:25:36-05:00,2025-08-20
2664,780,775.31256,2025-08-20T22:26:06-05:00,2025-08-20
2665,780,776.01575,2025-08-20T22:26:36-05:00,2025-08-20
2666,781,778.82825,2025-08-20T22:27:06-05:00,2025-08-20
2667,780,777.42187,2025-08-20T22:27:36-05:00,2025-08-20
2668,781,775.31256,2025-08-20T22:28:06-05:00,2025-08-20
2669,782,779.53119,2025-08-20T22:28:36-05:00,2025-08-20
2670,780,775.31256,2025-08-20T22:29:06-05:00,2025-08-20
2671,781,775.31256,2025-08-20T22:29:36-05:00,2025-08-20
2672,779,774.60937,2025-08-20T22:30:06-05:00,2025-08-20
2673,779,772.5,2025-08-20T22:30:37-05:00,2025-08-20
2674,778,773.20319,2025-08-20T22:31:06-05:00,2025-08-20
2675,778,775.31256,2025-08-20T22:31:36-05:00,2025-08-20
2676,779,774.60937,2025-08-20T22:32:06-05:00,2025-08-20
2677,779,774.60937,2025-08-20T22:33:06-05:00,2025-08-20
2678,778,773.20319,2025-08-20T22:33:36-05:00,2025-08-20
2679,780,776.01575,2025-08-20T22:34:07-05:00,2025-08-20
2680,780,778.12506,2025-08-20T22:34:37-05:00,2025-08-20
2681,781,778.82825,2025-08-20T22:35:07-05:00,2025-08-20
2682,781,778.82825,2025-08-20T22:35:37-05:00,2025-08-20
2683,781,778.12506,2025-08-20T22:36:07-05:00,2025-08-20
2684,784,780.93756,2025-08-20T22:36:37-05:00,2025-08-20
2685,786,780.93756,2025-08-20T22:37:07-05:00,2025-08-20
2686,787,780.23438,2025-08-20T22:37:37-05:00,2025-08-20
2687,785,780.93756,2025-08-20T22:38:07-05:00,2025-08-20
2688,782,779.53119,2025-08-20T22:38:37-05:00,2025-08-20
2689,783,777.42187,2025-08-20T22:39:07-05:00,2025-08-20
